datetime,open,high,low,close,volume
2020-01-14 06:00:00,1.11357,1.11382,1.11357,1.11366,516
2020-01-14 07:00:00,1.11367,1.11386,1.11361,1.11372,572
2020-01-14 08:00:00,1.11371,1.11446,1.1135,1.11446,1265
2020-01-14 09:00:00,1.11446,1.11446,1.11374,1.11423,1841
2020-01-14 10:00:00,1.11424,1.11442,1.11334,1.11353,2736
2020-01-14 11:00:00,1.11352,1.11358,1.11304,1.11315,1824
2020-01-14 12:00:00,1.11314,1.11356,1.11284,1.1134,1432
2020-01-14 13:00:00,1.1134,1.11346,1.11264,1.11304,2079
2020-01-14 14:00:00,1.11304,1.11305,1.11196,1.11208,2044
2020-01-14 15:00:00,1.11208,1.1121,1.11051,1.11103,3865
2020-01-14 16:00:00,1.11103,1.11234,1.11044,1.11218,3481
2020-01-14 17:00:00,1.11218,1.11234,1.11138,1.11222,2972
2020-01-14 18:00:00,1.11222,1.11306,1.11204,1.11298,2173
2020-01-14 19:00:00,1.11297,1.11328,1.11274,1.11312,1291
2020-01-14 20:00:00,1.1131,1.1135,1.113,1.11315,1886
2020-01-14 21:00:00,1.11315,1.11332,1.11281,1.11282,1348
2020-01-14 22:00:00,1.11282,1.11304,1.11272,1.11286,1266
2020-01-14 23:00:00,1.11285,1.11285,1.11248,1.11266,583
2020-01-15 00:00:00,1.11276,1.11288,1.11259,1.11262,391
2020-01-15 01:00:00,1.11262,1.11281,1.11262,1.11277,537
2020-01-15 02:00:00,1.11277,1.11309,1.11272,1.11296,942
2020-01-15 03:00:00,1.11297,1.11312,1.11274,1.11298,796
2020-01-15 04:00:00,1.11298,1.11313,1.11271,1.11292,770
2020-01-15 05:00:00,1.11293,1.11312,1.11282,1.11305,584
2020-01-15 06:00:00,1.11305,1.11339,1.11298,1.11333,580
2020-01-15 07:00:00,1.11333,1.11347,1.11318,1.11342,477
2020-01-15 08:00:00,1.11342,1.11366,1.11324,1.11356,710
2020-01-15 09:00:00,1.11356,1.1137,1.11272,1.11286,1367
2020-01-15 10:00:00,1.11285,1.1131,1.11185,1.11303,2225
2020-01-15 11:00:00,1.11301,1.11334,1.11256,1.11284,2068
2020-01-15 12:00:00,1.11284,1.11394,1.1125,1.11389,1571
2020-01-15 13:00:00,1.11388,1.1155,1.1138,1.11482,2951
2020-01-15 14:00:00,1.11482,1.11526,1.11398,1.1141,2008
2020-01-15 15:00:00,1.11412,1.11496,1.11402,1.11492,2765
2020-01-15 16:00:00,1.11492,1.11636,1.11488,1.11524,3143
2020-01-15 17:00:00,1.11524,1.11549,1.11433,1.11524,2854
2020-01-15 18:00:00,1.11523,1.116,1.11498,1.11598,2410
2020-01-15 19:00:00,1.11598,1.11616,1.11564,1.11576,1756
2020-01-15 20:00:00,1.11576,1.11598,1.11498,1.11517,1340
2020-01-15 21:00:00,1.11517,1.11542,1.11496,1.11504,1244
2020-01-15 22:00:00,1.11505,1.1153,1.11482,1.11526,1066
2020-01-15 23:00:00,1.11523,1.11526,1.11483,1.11498,567
2020-01-16 00:00:00,1.11495,1.11534,1.11491,1.11516,1168
2020-01-16 01:00:00,1.11515,1.11529,1.11502,1.11526,479
2020-01-16 02:00:00,1.11526,1.11582,1.11525,1.1155,961
2020-01-16 03:00:00,1.1155,1.11554,1.11532,1.11537,683
2020-01-16 04:00:00,1.11538,1.11538,1.1151,1.11518,498
2020-01-16 05:00:00,1.11518,1.11551,1.11516,1.1153,526
2020-01-16 06:00:00,1.1153,1.11536,1.11508,1.11512,526
2020-01-16 07:00:00,1.11511,1.11527,1.11498,1.11498,550
2020-01-16 08:00:00,1.11498,1.11506,1.11447,1.11506,966
2020-01-16 09:00:00,1.11505,1.1153,1.11452,1.11478,1685
2020-01-16 10:00:00,1.11478,1.11638,1.1146,1.11564,2516
2020-01-16 11:00:00,1.11564,1.11594,1.11504,1.11534,2181
2020-01-16 12:00:00,1.11536,1.11633,1.11528,1.11575,1547
2020-01-16 13:00:00,1.11575,1.11608,1.11558,1.1159,1332
2020-01-16 14:00:00,1.1159,1.11726,1.11568,1.1165,2218
2020-01-16 15:00:00,1.1165,1.117,1.11501,1.11515,3749
2020-01-16 16:00:00,1.11515,1.11602,1.11412,1.11416,3196
2020-01-16 17:00:00,1.11416,1.1147,1.11312,1.11408,3806
2020-01-16 18:00:00,1.11408,1.11424,1.1128,1.11304,2891
2020-01-16 19:00:00,1.11304,1.11362,1.11292,1.11348,1350
2020-01-16 20:00:00,1.11348,1.11362,1.11319,1.11348,1057
2020-01-16 21:00:00,1.11348,1.11357,1.11327,1.1135,838
2020-01-16 22:00:00,1.11349,1.11382,1.11346,1.1138,877
2020-01-16 23:00:00,1.11378,1.11382,1.11345,1.11359,664
2020-01-17 00:00:00,1.1136,1.11379,1.11342,1.11372,477
2020-01-17 01:00:00,1.11372,1.11378,1.11358,1.11371,486
2020-01-17 02:00:00,1.11371,1.11394,1.11353,1.11376,961
2020-01-17 03:00:00,1.11376,1.11392,1.1134,1.1137,881
2020-01-17 04:00:00,1.1137,1.11426,1.11363,1.11364,963
2020-01-17 05:00:00,1.11364,1.1138,1.1131,1.11312,780
2020-01-17 06:00:00,1.11312,1.11338,1.1131,1.11322,479
2020-01-17 07:00:00,1.11322,1.11378,1.11321,1.11366,604
2020-01-17 08:00:00,1.11366,1.11405,1.11348,1.11398,737
2020-01-17 09:00:00,1.11398,1.11412,1.1135,1.11364,1612
2020-01-17 10:00:00,1.11365,1.11397,1.1134,1.11358,1786
2020-01-17 11:00:00,1.11358,1.11377,1.11249,1.11278,2921
2020-01-17 12:00:00,1.11278,1.11283,1.11158,1.11162,2154
2020-01-17 13:00:00,1.11162,1.11162,1.11064,1.11124,2199
2020-01-17 14:00:00,1.11124,1.11148,1.1106,1.11099,1682
2020-01-17 15:00:00,1.11098,1.1112,1.10982,1.11004,2944
2020-01-17 16:00:00,1.11005,1.11062,1.10958,1.11006,2634
2020-01-17 17:00:00,1.11006,1.1103,1.10863,1.1094,3116
2020-01-17 18:00:00,1.1094,1.10962,1.1089,1.10919,2097
2020-01-17 19:00:00,1.10919,1.1095,1.10882,1.10912,1179
2020-01-17 20:00:00,1.10912,1.10944,1.10904,1.10926,909
2020-01-17 21:00:00,1.10928,1.10948,1.10906,1.10932,624
2020-01-17 22:00:00,1.10931,1.10934,1.10914,1.10928,701
2020-01-17 23:00:00,1.10928,1.1093,1.10882,1.10895,765
2020-01-20 00:00:00,1.10901,1.10929,1.10889,1.10902,1681
2020-01-20 01:00:00,1.10904,1.10946,1.10891,1.10945,618
2020-01-20 02:00:00,1.10945,1.10986,1.10926,1.1093,730
2020-01-20 03:00:00,1.1093,1.10978,1.10926,1.10964,731
2020-01-20 04:00:00,1.10964,1.10974,1.1095,1.10971,516
2020-01-20 05:00:00,1.10972,1.1099,1.10953,1.10959,570
